날짜,교통량
20190309,0.872
20190310,0.731
20190311,0.88
20190312,0.895
20190313,0.907
20190314,0.915
20190315,0.908
20190316,0.855
20190317,0.732
20190318,0.88
20190319,0.893
20190320,0.876
20190321,0.891
20190322,0.922
20190323,0.857
20190324,0.749
20190325,0.879
20190326,0.89
20190327,0.884
20190328,0.903
20190329,0.846
20190330,0.853
20190331,0.737
20190401,0.889
20190402,0.894
20190403,0.896
20190404,0.898
20190405,0.919
20190406,0.862
20190407,0.764
20190408,0.899
20190409,0.917
20190410,0.911
20190411,0.932
20190412,0.951
20190413,0.906
20190414,0.743
20190415,0.921
20190416,0.937
20190417,0.939
20190418,0.932
20190419,0.955
20190420,0.892
20190421,0.769
20190422,0.901
20190423,0.913
20190424,0.911
20190425,0.905
20190426,0.914
20190427,0.876
20190428,0.75
20190429,0.893
20190430,0.923
20190501,0.82
20190502,0.918
20190503,0.937
20190504,0.877
20190505,0.766
20190506,0.777
20190507,0.898
20190508,0.926
20190509,0.921
20190510,0.947
20190511,0.895
20190512,0.776
20190513,0.901
20190514,0.922
20190515,0.903
20190516,0.916
20190517,0.927
20190518,0.876
20190519,0.713
20190520,0.866
20190521,0.901
20190522,0.902
20190523,0.922
20190524,0.942
20190525,0.891
20190526,0.77
20190527,0.805
20190528,0.921
20190529,0.92
20190530,0.92
20190531,0.933
20190601,0.868
20190602,0.743
20190603,0.871
20190604,0.91
20190605,0.938
20190606,0.788
20190607,0.838
20190608,0.857
20190609,0.724
20190610,0.86
20190611,0.912
20190612,0.898
20190613,0.911
20190614,0.938
20190615,0.872
20190616,0.735
20190617,0.878
20190618,0.878
20190619,0.872
20190620,0.919
20190621,0.892
20190622,0.874
20190623,0.751
20190624,0.889
20190625,0.886
20190626,0.89
20190627,0.889
20190628,0.911
20190629,0.846
20190630,0.739
20190701,0.859
20190702,0.882
20190703,0.872
20190704,0.895
20190705,0.92
20190706,0.855
20190707,0.736
20190708,0.873
20190709,0.89
20190710,0.889
20190711,0.869
20190712,0.937
20190713,0.844
20190714,0.736
20190715,0.837
20190716,0.887
20190717,0.908
20190718,0.9
20190719,0.931
20190720,0.857
20190721,0.729
20190722,0.884
20190723,0.9
20190724,0.875
20190725,0.838
20190726,0.807
20190727,0.828
20190728,0.681
20190729,0.848
20190730,0.851
20190731,0.833
20190801,0.871
20190802,0.895
20190803,0.808
20190804,0.705
20190805,0.848
20190806,0.871
20190807,0.855
20190808,0.891
20190809,0.914
20190810,0.846
20190811,0.724
20190812,0.82
20190813,0.878
20190814,0.892
20190815,0.73
20190816,0.88
20190817,0.827
20190818,0.729
20190819,0.869
20190820,0.88
20190821,0.881
20190822,0.901
20190823,0.94
20190824,0.896
20190825,0.778
20190826,0.91
20190827,0.916
20190828,0.931
20190829,0.909
20190830,0.925
20190831,0.897
20190901,0.779
20190902,0.893
20190903,0.912
20190904,0.858
20190905,0.858
20190906,0.911
20190907,0.694
20190908,0.695
20190909,0.86
20190910,0.824
20190911,0.882
20190912,0.706
20190913,0.745
20190914,0.634
20190915,0.651
20190916,0.835
20190917,0.883
20190918,0.882
20190919,0.894
20190920,0.903
20190921,0.866
20190922,0.697
20190923,0.881
20190924,0.907
20190925,0.907
20190926,0.909
20190927,0.915
20190928,0.859
20190929,0.75
20190930,0.878
20191001,0.904
20191002,0.877
20191003,0.738
20191004,0.9
20191005,0.834
20191006,0.74
20191007,0.818
20191008,0.917
20191009,0.777
20191010,0.875
20191011,0.914
20191012,0.853
20191013,0.758
20191014,0.878
20191015,0.878
20191016,0.892
20191017,0.901
20191018,0.928
20191019,0.883
20191020,0.775
20191021,0.882
20191022,0.894
20191023,0.884
20191024,0.905
20191025,0.905
20191026,0.871
20191027,0.77
20191028,0.862
20191029,0.88
20191030,0.904
20191031,0.887
20191101,0.912
20191102,0.876
20191103,0.771
20191104,0.889
20191105,0.909
