날짜,북,동,남,서,강수량,풍속
2016-01-21,0,0.09,0.91,0,0.0,0.09
2016-01-22,0.31,0,0,0.69,0.0,0.412
2016-01-23,0.22,0,0,0.78,0.0,0.649
2016-01-24,0.32,0,0,0.68,0.0,0.455
2016-01-25,0.12,0,0,0.88,0.0,0.074
2016-01-26,0.22,0.78,0,0,0.0,0.064
2016-01-27,0.43,0.57,0,0,0.0,0.027
2016-01-28,0.91,0.09,0,0,0.0,0.123
2016-01-29,0,0.16,0.84,0,0.0,0.308
2016-01-30,0.38,0,0,0.62,0.0,0.121
2016-01-31,0.56,0,0,0.44,0.0,0.428
2016-02-01,0.36,0,0,0.64,0.0,0.404
2016-02-02,0.47,0.53,0,0,0.0,0.027
2016-02-03,0.62,0.38,0,0,0.0,0.071
2016-02-04,0.24,0.76,0,0,0.0,0.016
2016-02-05,0.31,0,0,0.69,0.0,0.188
2016-02-06,0.29,0,0,0.71,0.0,0.427
2016-02-07,0.64,0,0,0.36,0.0,0.297
2016-02-08,0.62,0,0,0.38,0.0,0.131
2016-02-09,0.6,0,0,0.4,0.0,0.362
2016-02-10,0.93,0.07,0,0,0.0,0.14
2016-02-11,0,0.33,0.67,0,0.0,0.456
2016-02-12,0,1,0,0,0.125,0.305
2016-02-13,0,0.4,0.6,0,0.145,0.32
2016-02-14,0.69,0,0,0.31,0.017,0.659
2016-02-15,0.34,0,0,0.66,0.0,0.596
2016-02-16,0.5,0,0,0.5,0.003,0.15
2016-02-17,0.57,0,0,0.43,0.0,0.067
2016-02-18,0,0,0.91,0.09,0.0,0.699
2016-02-19,0.24,0,0,0.76,0.0,0.097
2016-02-20,0.72,0.28,0,0,0.0,0.051
2016-02-21,0.53,0,0,0.47,0.0,0.495
2016-02-22,0.28,0,0,0.72,0.0,0.108
2016-02-23,0.24,0,0,0.76,0.003,0.225
2016-02-24,0.31,0,0,0.69,0.0,0.29
2016-02-25,0.24,0,0,0.76,0.0,0.064
2016-02-26,0.41,0,0,0.59,0.0,0.254
2016-02-27,0.78,0.22,0,0,0.0,0.053
2016-02-28,0.66,0.34,0,0,0.021,0.09
2016-02-29,0.3,0,0,0.7,0.0,0.631
2016-03-01,0.47,0,0,0.53,0.0,0.345
2016-03-02,0,0,0.99,0.01,0.0,0.603
2016-03-03,0,0.07,0.93,0,0.0,0.076
2016-03-04,0,0.16,0.84,0,0.0,0.425
2016-03-05,0,0.13,0.87,0,0.277,0.425
2016-03-06,0.24,0,0,0.76,0.0,0.391
2016-03-07,0.07,0.93,0,0,0.0,0.165
2016-03-08,0.2,0,0,0.8,0.0,0.445
2016-03-09,0.24,0,0,0.76,0.0,0.534
2016-03-10,0.37,0,0,0.63,0.0,0.499
2016-03-11,0.57,0,0,0.43,0.0,0.218
2016-03-12,0.34,0,0,0.66,0.0,0.066
2016-03-13,0.62,0.38,0,0,0.0,0.037
2016-03-14,0.4,0,0,0.6,0.0,0.357
2016-03-15,0.36,0,0,0.64,0.0,0.357
2016-03-16,0.72,0.28,0,0,0.0,0.044
2016-03-17,0.24,0,0,0.76,0.0,0.103
2016-03-18,0.27,0,0,0.73,0.0,0.542
2016-03-19,0.36,0,0,0.64,0.0,0.285
2016-03-20,0.53,0,0,0.47,0.0,0.22
2016-03-21,0.47,0,0,0.53,0.0,0.201
2016-03-22,0.71,0,0,0.29,0.0,0.405
2016-03-23,0.37,0,0,0.63,0.0,0.414
2016-03-24,0.42,0,0,0.58,0.0,0.451
2016-03-25,0.31,0,0,0.69,0.0,0.188
2016-03-26,0.47,0,0,0.53,0.0,0.347
2016-03-27,0.51,0,0,0.49,0.0,0.414
2016-03-28,0.5,0,0,0.5,0.0,0.041
2016-03-29,0.93,0,0,0.07,0.0,0.578
2016-03-30,0.49,0,0,0.51,0.0,0.355
2016-03-31,0.31,0,0,0.69,0.0,0.118
2016-04-01,0.88,0.12,0,0,0.0,0.108
2016-04-02,0.5,0,0,0.5,0.0,0.077
2016-04-03,0.66,0.34,0,0,0.014,0.037
2016-04-04,0.53,0,0,0.47,0.0,0.465
2016-04-05,0.61,0,0,0.39,0.0,0.361
2016-04-06,0.96,0.04,0,0,0.021,0.277
2016-04-07,0.64,0,0,0.36,0.052,0.492
2016-04-08,0.51,0,0,0.49,0.0,0.407
2016-04-09,0.56,0,0,0.44,0.0,0.272
2016-04-10,0.6,0,0,0.4,0.0,0.382
2016-04-11,0.43,0,0,0.57,0.0,0.046
2016-04-12,0.62,0.38,0,0,0.0,0.03
2016-04-13,0.88,0.12,0,0,0.007,0.158
2016-04-14,0.5,0,0,0.5,0.0,0.275
2016-04-15,0.62,0,0,0.38,0.0,0.183
2016-04-16,0,0.18,0.82,0,0.163,0.591
2016-04-17,0.73,0,0,0.27,0.142,0.645
2016-04-18,0.69,0,0,0.31,0.01,0.344
2016-04-19,0.51,0,0,0.49,0.0,0.382
2016-04-20,0.69,0.31,0,0,0.003,0.061
2016-04-21,0,0.16,0.84,0,0.118,0.613
2016-04-22,0.47,0,0,0.53,0.0,0.402
2016-04-23,0.81,0.19,0,0,0.0,0.131
2016-04-24,0.4,0.6,0,0,0.0,0.036
2016-04-25,0.24,0,0,0.76,0.0,0.023
2016-04-26,0.62,0.38,0,0,0.0,0.036
2016-04-27,0,0.2,0.8,0,0.0,0.512
2016-04-28,0.87,0.13,0,0,0.0,0.243
2016-04-29,0.62,0,0,0.38,0.0,0.407
2016-04-30,0.96,0,0,0.04,0.0,0.459
2016-05-01,0,0,0.97,0.03,0.0,0.321
2016-05-02,0,0,0.8,0.2,0.114,0.358
2016-05-03,0.96,0,0,0.04,0.187,0.843
2016-05-04,0.73,0,0,0.27,0.0,0.74
2016-05-05,0.59,0,0,0.41,0.052,0.083
2016-05-06,0.76,0.24,0,0,0.066,0.034
2016-05-08,0.03,0.97,0,0,0.0,0.066
2016-05-09,0,0.38,0.62,0,0.0,0.068
2016-05-10,0.61,0.39,0,0,0.093,0.511
2016-05-11,0,0,0.93,0.07,0.0,0.361
2016-05-12,0,0,0.62,0.38,0.0,0.509
2016-05-13,0,0,0.33,0.67,0.003,0.305
2016-05-14,0.58,0.42,0,0,0.0,0.301
2016-05-15,0,0,0.89,0.11,0.311,0.456
2016-05-16,0,0,0.89,0.11,0.017,0.435
2016-05-17,0,0,0.84,0.16,0.0,0.284
2016-05-18,0.91,0,0,0.09,0.0,0.321
2016-05-19,0.31,0.69,0,0,0.0,0.188
2016-05-20,0.62,0.38,0,0,0.0,0.31
2016-05-21,0.64,0.36,0,0,0.0,0.317
2016-05-22,0.47,0.53,0,0,0.0,0.21
2016-05-23,0.82,0,0,0.18,0.0,0.344
2016-05-24,0,0,0.42,0.58,0.266,0.419
2016-05-25,0,0,0.36,0.64,0.0,0.429
2016-05-26,0,0,0.98,0.02,0.0,0.234
2016-05-27,0,0,0.97,0.03,0.0,0.359
2016-05-28,0,0,0.89,0.11,0.0,0.358
2016-05-29,0,0,0.91,0.09,0.0,0.389
2016-05-30,0,0,0.93,0.07,0.0,0.315
2016-05-31,0,0,0.89,0.11,0.0,0.318
2016-06-01,0.62,0.38,0,0,0.0,0.391
2016-06-02,0.61,0.39,0,0,0.0,0.24
2016-06-03,0,0,0.98,0.02,0.0,0.327
2016-06-04,0,0,0,1,0.0,0.285
2016-06-05,0.56,0.44,0,0,0.0,0.193
2016-06-06,0,0.38,0.62,0,0.0,0.35
2016-06-07,0,0,0,1,0.0,0.377
